"premise_id","premise_type","premise_address","loc_city","loc_state","loc_postcode","loc_country"
1,"Warehouse","654 S Myers St","Los Angeles","California","94027","USA"
2,"Warehouse","655 S Myers St","Los Angeles","California","94027","USA"
3,"Office","W Jefferson Dr","Los Angeles","California","94027","USA"
4,"Office","10000 Washington Blvd","Los Angeles","California","94027","USA"
5,"Store","189 The Grove Dr","Los Angeles","California","94027","USA"
6,"Store","4305 La Jolla Village Dr","San Diego","California","94027","USA"
7,"Warehouse","15505 Long Vista Dr # 210","Austin","Texas","20001","USA"
8,"Warehouse","8002 Burleson Rd","Austin","Texas","20001","USA"
9,"Store","3121 Palm Way","Austin","Texas","20001","USA"
10,"Office","5085 Westheimer Rd","Houston","Texas","20001","USA"
11,"Warehouse","6 W 35th St","New York","New York","10001","USA"
12,"Warehouse","14 Hall St, Brooklyn","New York","New York","10001","USA"
13,"Office","767 5th Ave","New York","New York","10001","USA"
14,"Store","Terminal, 45 Grand Central","New York","New York","10001","USA"
15,"Store","940 Madison Ave","New York","New York","10001","USA"
16,"Warehouse","9, Jalan Tandang 204a","Kuala Lumpur","Selangor","40150","Malaysia"
17,"Store","3RD FLOOR, Petronas Twin Tower","Kuala Lumpur","Selangor","40150","Malaysia"
18,"Store","G-063, Mid Valley Megamall","Kuala Lumpur","Selangor","40150","Malaysia"
19,"Office","Level 11 Menara CIMB, Jalan Stesen Sentral 2","Kuala Lumpur","Selangor","40150","Malaysia"
20,"Office","First Floor, AEON Mall","Cheras","Selangor","40150","Malaysia"
21,"Warehouse","2 Chome-33-8 Kitazawa","Shibuya","Tokyo","99687","Japan"
22,"Store","1 Chome-20-9 Jinnan","Shibuya","Tokyo","99687","Japan"
23,"Office","4 Chome-2-13 Jingumae","Shibuya","Tokyo","99687","Japan"
24,"Store","〒101-0021 Tokyo","Akihabara","Tokyo","99687","Japan"
25,"Store","3 Chome-5-12 Ginza","Harajuku","Tokyo","99687","Japan"
26,"Warehouse","Ty-Glas Ave, Llanishen","Cardiff","Wales","48643","England"
27,"Warehouse","10 Duke St","Cardiff","Wales","48643","England"
28,"Store","63-66 Grand Arcade, St Davids Centre","Cardiff","Wales","48643","England"
29,"Office","133 Fountainbridge","Edinburgh","Scotland","48643","England"
30,"Office","10 Princes St","Edinburgh","Scotland","48643","England"
31,"Warehouse","Shan Mei St","Tai Long Wan","Sha Tin","90033","Hong Kong"
32,"Warehouse","8-10 Siu Lek Yuen Road","Tai Long Wan","Sha Tin","90033","Hong Kong"
33,"Store","沙田正街18號 新城市廣場1期L4/426-428","Tai Long Wan","Sha Tin","90033","Hong Kong"
34,"Office","銅鑼灣勿地臣街1號時代廣場第1座24字樓2401室","Tai Long Wan","Sha Tin","90033","Hong Kong"
35,"Office","25號 Canton Rd","Tai Long Wan","Sha Tin","90033","Hong Kong"
36,"Warehouse","3/175 Jackson Rd, Sunnybank Hills","Brisbane","Queensland","23901","Australia"
37,"Warehouse","8 McLachlan St, Fortitude Valley","Brisbane","Queensland","23901","Australia"
38,"Office","1151 Creek Road","Brisbane","Queensland","23901","Australia"
39,"Store","MacArthur Chambers, 233 Queen Street","Brisbane","Queensland","23901","Australia"
40,"Store","Australia Fair Shopping Centre, 42 Marine Parade","Gold Coast","Queensland","23901","Australia"
41,"Office","968 U Chu Liang Bldg.","Krabi","Krabi","11111","Thailand"
42,"Store","254/5, Krabi Noi, Mueang Krabi District","Krabi","Krabi","11111","Thailand"
43,"Warehouse","Haidian District","Beijing","Beijing","79218","China"
44,"Warehouse","Minhang District","Shanghai","Shanghai","79218","China"
45,"Office","71 Di'anmen W St, Shi Cha Hai, Xicheng District","Beijing","Beijing","79218","China"
46,"Store","131 Xidan N St, Xi Dan, Xicheng District","Beijing","Beijing","79218","China"
47,"Store","101 Chaoyang N Rd","Beijing","Beijing","79218","China"
48,"Store","Dongcheng, Wangfujing","Shanghai","Shanghai","79218","China"
49,"Warehouse","22753 Dewdney Trunk Rd","Maple Ridge","Vancouver","99431","Canada"
50,"Office","3030 Lincoln Ave #211","Coquitlam","Vancouver","99431","Canada"
51,"Store","2929 Barnet Hwy","Coquitlam","Vancouver","99431","Canada"
